,Rating,Title,Review,Review_Date
10,4.0,Face,Mobile 📱📱📱📱 mast hai,21 April 2023
11,4.0,Value for money,"This phone is value for money. Meanwhile, you can't experience the one plus charm. Camera quality is average. 5G connection speed is slightly less than the connection speed of other 5G phones.",18 April 2023
12,4.0,Perfect in budget,"Budget friendly, performance is good and enough",2 May 2023
13,4.0,Best in budget,Camera quality is little bit low than its own high price versionBut better than any other phone in this price range.Rest features are good.,29 April 2023
14,4.0,Nice phone,"I am happy really,👍👍👍👍",27 April 2023
15,4.0,Nice,Nice in this range,22 April 2023
16,4.0,Nice,Value for money.But company should be provide ear buds.,25 April 2023
17,4.0,Love it,Camera quality and battery backup is good,22 April 2023
18,4.0,Good,Good for this price,1 May 2023
19,4.0,Good,no problem,24 April 2023
20,4.0,Nice 5G phone at a decent price,"I loved the colour (sky blue), which looked exceptional when I opened it. Just started using it so cannot comment much on the performance. My mom always used Samsung before, and is fairly comfortable with the change of brand. She is using this since couple of weeks without concerns, but could have had better features at this price. This probably can only fit 2 SIM cards or 1 SIM and 1 SD card, that was surprising. Camera quality does not look great even though the brand claims to have higher MP camera's. Both SIM slots are mentioned 5G, which is great and battery quality so far looks reasonable.",2 April 2023
21,4.0,Average,It's good,29 April 2023
22,4.0,Good product within budget,"I feel it's very good phone within this budget range. Camera, performance and specially OS. Only one thing can be improved is display.",23 April 2023
23,4.0,Best Smartphone,"It's a great smartphone under 20k. Camera, battery and processor is very good. Overall it is a nice smartphone.",21 April 2023
24,4.0,Best purchase,Best,30 April 2023
25,4.0,Good Product,"Great device, but as One-entry-level plus's offering, there are some minor flaws that will be obvious. The first issue is the perplexing placement of the power button (and hence the finger sensor). Daily phone handling can be aggravating, with fingers locking and unlocking the phone as you try to handle it and place it in your pockets. Although this is not a major issue, it is something to consider. The second point is that there is some lag here and there (only a minor amount), which I am hoping will go away with future updates/improvements.",24 March 2023
26,4.0,Not good not bad,"I am posting a review after 7 days of used,Pros :Battery is good, if you are using your mobile 10-12 hours continuous, charging will go for 1 day ..Performance is good, fast, looks good, features also ok.Cons :I heard about the camera quality of one plus is good, but my personal experience that it is not good, one plus front and back camera click real pictures but not in quality, images are blurry and pixels are also not clear. Am very disappoint with camera quality.I chose this to buy bcuz of camera and battery, but my experience is not good with this.Other phone are also coming with good quality...If you want to go for brand, go for it,But in the other brand you can get more good mobiles .",28 March 2023
27,4.0,Its good and worth of money,I like this best brand in this much amount and thats 5G mobile.,26 April 2023
28,4.0,Ok,Good,28 April 2023
29,4.0,Good,Good,27 April 2023
30,4.0,One Gps camera issue and otherwise good,"Overall very good mobile in this range but there is camera issue that when I catch photo with gps camera , front view through mobile is very clear and full of light but after pressing capture button it makes little bit dim and low light. This is the problem I am facing.",27 April 2023
31,4.0,Worest mobile,mobile signals not working mobile battery backup not good some times hanged some times hanged yesterday visited OnePlus store not good service,21 April 2023
32,4.0,Good 👍,Nice Performance,25 April 2023
33,4.0,Good product,It is good product but not good foe heavy gaming,24 April 2023
34,4.0,This phone is popular only bcs it's from OnePlus,Out of 3Camera ++Sound ++Screen++Processing+++Battery++,23 April 2023
35,4.0,Amazing 😍 product loved it 😊😊👍👍,"Fantastic camera 📸 quality, look is also super",26 April 2023
36,4.0,Money valuable,User friendly mobileCharging is very fast fully,23 April 2023
37,4.0,Except camera everything is good,"Cons:If you are camera lover, don't go with thisPros:Battery is goodDisplay is niceDurability is good",25 April 2023
38,4.0,Nice,Good product 👍,25 April 2023
39,4.0,Nice product,I purchased it 2 months before. Camera quality & battery backup are very good. Others performance is good.,18 April 2023
40,4.0,Satisfied,good.,Reviewed in India 🇮🇳 on 23 April 2023
41,4.0,Everything is good except battery,Battery does not last much longerMy old phone was even cheaper but the battery backup is sameOther than that everything is good,Reviewed in India 🇮🇳 on 4 April 2023
42,4.0,Nice mobile,Overall good mobile,Reviewed in India 🇮🇳 on 21 April 2023
43,4.0,"Worst Experience, Product is not working properly","Worst Experience, Product is not working properly, Auto Restart Showing on screen.",Reviewed in India 🇮🇳 on 20 April 2023
44,4.0,super,product is super,Reviewed in India 🇮🇳 on 24 April 2023
45,4.0,Value for price,It is good. but organizing contact is a bit cozy,Reviewed in India 🇮🇳 on 20 April 2023
46,4.0,Not bad,Camera  is not good,Reviewed in India 🇮🇳 on 15 April 2023
47,4.0,Super,OnePlus is always first choice. Mast...,Reviewed in India 🇮🇳 on 17 April 2023
48,4.0,This is a branded budget phone 📱,"This is definitely a budget branded phone 📱 after 1 month 22 days of use today I am posting this review.. I got this phone as a childrens day gift 🎁 from my father ❤️Pros :-1. If you are a heavy user then the charge will be stay for 10 to 12 hours otherwise it's stay for almost 1 day..2. Very smooth touch no issue in typing or anything..3. The camera quality is awesome it's shows your original skin texture..4. The audio quality is also awesome5.  The video quality is just wow6. 5 g enable7. Clean UICons :-1. If you are a filter lover and do not like the original skin texture then this phone is not for you..2. This phone only have 1080p resolution3. Limited 5 g bands4. It doesn’t have HDR10+ support for Netflix and Amazon Prime, which means your viewing experience will always lag behind All in all",Reviewed in India 🇮🇳 on 5 January 2023
49,4.0,Nice,The product is nice..,Reviewed in India 🇮🇳 on 14 April 2023
50,4.0,LCD screen disappointed,"In this fast changing technology era, how a brand like One Plus giving LCD display whereas the world is of Super Amoled Display. This disappointed",Reviewed in India 🇮🇳 on 13 April 2023
51,4.0,Perfact,All function of this brand run smoothly,Reviewed in India 🇮🇳 on 20 April 2023
52,4.0,Good,Good,Reviewed in India 🇮🇳 on 13 April 2023
53,4.0,Budget price phone,According to this price it's having good features and camera quality,Reviewed in India 🇮🇳 on 20 April 2023
54,4.0,Budget friendly reliable phone,"I bought the phone in Jan 2023 @ 18250. Below are pros and cons I observed.Pros:1. Lightweight2. Good processor (snapdragon 695) for day to day task. No heating issue.3. Display is bright enough for sunlight usage.4. Network connectivity is good. I am able to use Jio 5g on this phone. Best speed so far is 500 Mbps. Call quality is good.5. Ram management is decent and with ram plus i.e. 6+6 I don't find any lag even with heavier tasks.6. Speaker is loud, clear and good.7. Fingerprint scanner is good and faster.8. Oxygen OS is clean and snappier without any bloatwares.9. Main Camera and front camera is decent in this price range. Low-light performance is decent but you need a steady hand for shake free images. Camera comes with good features.10. Battery backup is really good. Lasts 1.5 to 2 days easily with normal to medium usage. Attached the battery usage details.Cons:1. Display is IPS LCD. Could have been Amoled.2. Missing OIS on main camera. EIS is not really helpful.3. Cannot record 4k videos.4. Plastic body is ok but not very durable.5. No gorilla glass protection. Better to install some screen protection.",Reviewed in India 🇮🇳 on 5 February 2023
55,4.0,OIS,Very nice,Reviewed in India 🇮🇳 on 16 April 2023
56,4.0,Nice,Good 👍,Reviewed in India 🇮🇳 on 15 April 2023
57,4.0,Nice mobile,Battery problem,Reviewed in India 🇮🇳 on 18 April 2023
58,4.0,"3/5, good as a secondary phone!","Have always used 1+ as my secondary phone, upgrade my old OnePlus for the CE 2 lite.Camera quality 3/5Speed and processing 5/5For the price, this phone is very good!Overall, i am satisfied with the product for the price! Good premium budget phone!",Reviewed in India 🇮🇳 on 28 March 2023
59,4.0,Nice,Nice,Reviewed in India 🇮🇳 on 19 April 2023
60,4.0,Nice phone,Nice phone but i didn't recieve my 5% cashback .,12 April 2023
61,4.0,Good one👍,Good,16 April 2023
62,4.0,5G is working 😃,"Performance is good no lag in day to day usesI will basically talk about camera 🤳Primary 64mp Camera is good I say in proper lighting conditions, Portrait shots are nice, Video quality is not good my old K20 pro takes far better video than this ... Rest UW and Macro i really fell it's useless poor quality pictures by UW camera and Macro shots take lot of time to focus...Airtel 5G is working Jio 5G not tested will update my review after testing...",19 March 2023
63,4.0,நல்லதொரு பொருள்,இந்தப் பொருள் எனக்கு ரொம்பவும் பிடித்தது,11 April 2023
64,4.0,Great purchase in 19k,Very good phone below 20kPros: 3.5 mm jack5gWith chargerDecent cameraGood batteryStereo speakersCons:Camera is not upto the mark compared to other one plus phones.,6 April 2023
65,4.0,Nice phone,I like this phone best quality good performance,11 April 2023
66,4.0,Nice performance,I have ordered this phone for my friend. He is using it since January. It working well. Camera quality and battery backup is good also.,7 April 2023
67,4.0,Good product,Phone is not working fast as per expectation.,10 April 2023
68,4.0,GOOD,GOOD PHONE,13 April 2023
69,4.0,Features,I like the phone very much camera is very good charge back up is very bad.,9 April 2023
70,4.0,👍,Good phone,Reviewed in India 🇮🇳 on 16 April 2023
71,4.0,Low Price with best quality,Good,Reviewed in India 🇮🇳 on 14 April 2023
72,4.0,Good,Good,Reviewed in India 🇮🇳 on 15 April 2023
73,4.0,Good,Good,Reviewed in India 🇮🇳 on 16 April 2023
74,4.0,Not Upto One Plus,"It is fine, but could have been even better.",Reviewed in India 🇮🇳 on 14 April 2023
75,4.0,Good,It's a better product in its range.,Reviewed in India 🇮🇳 on 14 April 2023
76,4.0,Very good cell phone,Superb,Reviewed in India 🇮🇳 on 15 April 2023
77,4.0,Good product,Super 👍,Reviewed in India 🇮🇳 on 14 April 2023
78,4.0,One plus nord ce 2 light,Very nice and value for money,Reviewed in India 🇮🇳 on 15 April 2023
79,3.0,Not as expected,"I bought this mobile for the purpose of camera, calculator , calling and audio purpose but if i compare with nokia 6.1 plus then it is not as expected.1. First image is nokia 6.1 plus and second is one plus nord ce 2 on same day.2. The quality of Audio while listening music or capture video is not as expected, i guess nokia 6.1 plus audio is better than this mobile.3. Some time auto stopped while listening music.4. Connect to call is awesome 5/5 for this purpose.5. Calculator is awesome for researcher purpose.6. During day time heating problem while taking pictures or making video, i observe nokia 6.1 plus is all time cool, nokia has big issue- software problems, charger problems, jack problems otherwise nokia is better than Apple.7. Battery is awesome better than nokia or other mobile phone but drain very fast even not using internet connection.8. Look is awesome but bigger than hand so may be fall during call.9. one plus gave cover free of cost but there is no protection for camera.10. If you are searching data from your SD slot then it is very slow even data is only 200mb , but nokia is very fast even data is more than 128 gb.Over all this is not as expected (5/10) because data consuming more than other mobile even we never use any social media apps.",Reviewed in India 🇮🇳 on 9 April 2023
80,4.0,Camera super 😍,Camera super but Full charging time 1hour time 😏,Reviewed in India 🇮🇳 on 5 April 2023
81,4.0,Mobil,Very good phone,Reviewed in India 🇮🇳 on 12 April 2023
82,4.0,Overall good phone at this price.,Everything is fine but i am not fully satisfied with battery beacause it drop very fast so this phone is not for heavy phone users. Although it comes with 33W super vooc charging that takes about an hour  to get fully charged,Reviewed in India 🇮🇳 on 29 March 2023
83,4.0,camera quality,good product,Reviewed in India 🇮🇳 on 11 April 2023
84,4.0,Better,,Reviewed in India 🇮🇳 on 1 April 2023
85,4.0,Bettar than any others,Nice product,Reviewed in India 🇮🇳 on 8 April 2023
86,4.0,Good,Good product,Reviewed in India 🇮🇳 on 6 April 2023
87,4.0,Battery Life is excellent,wqdwedwed,Reviewed in India 🇮🇳 on 2 April 2023
88,4.0,Nice product,Good product,Reviewed in India 🇮🇳 on 14 April 2023
89,4.0,Good,Camera awsmm Happy,Reviewed in India 🇮🇳 on 8 April 2023
90,4.0,Good mobile phone 📱,Very good product,8 April 2023
91,4.0,Impressive Performance,The Phone came in great packaging and is really smooth to use.,5 April 2023
92,4.0,Good,Good,10 April 2023
93,4.0,Good,Camera 📸,8 April 2023
94,4.0,According to its price it is good enough,"Whenever someone calls, this device takes sometime to show who is calling. This is only the thing I don't like about it rest everything is good though.",26 March 2023
95,4.0,Good handset on this price point.,Using for the last three months. So far so good.Actually you can't expect more than this one at this price point.Strongly recommend.,24 March 2023
96,4.0,Pul Paisa asul,Nice phom,3 April 2023
97,4.0,Nice,Excellent👍,4 April 2023
98,4.0,Problems in this phone,"I am facing problem in this phone. That is, whenever I am calling someone on a normal phone, then the problem of call dropping is coming. And sometimes when you call someone, the voice sound is not coming.And the camera quality is not good.",21 March 2023
99,4.0,Nice 🙂,Ok,6 April 2023
100,4.0,Phone tagline,"It works smoothly, But when your phone gets occupied with some data. It doesn't work the way it used to",23 March 2023
101,4.0,Value for money,"Built quality, features.",10 April 2023
102,4.0,Good phone,Best value of the purchase,5 April 2023
103,4.0,Nice,"Camera is just ok, other features are awesome",5 April 2023
104,4.0,Wonderful,Wonderful birthday and camera,1 April 2023
105,4.0,Best at budget,All specifications are satisfied one minur i.e heating isse due to software,6 April 2023
106,4.0,Best,Quality is very good,1 April 2023
107,4.0,Good phone,"Value for money,good phone",8 April 2023
108,4.0,Camre quilts is the best.,Non,7 April 2023
109,5.0,TECNO PHANTOM V FOLD,TECNO PHANTOM V is the most powerful phone in this Price.It has 7.85 inch 2K plus AMOLED Display.16+32 MP Selfie Camera.50+50+13MP Rear Camera.Big 5000 mAh battery with 45w fast Charging and charger comes inbox which is a big surprise as no other phone in this segment has inbox charger.,24 April 2023
110,4.0,Superb,Very nice mobile,Reviewed in India 🇮🇳 on 9 April 2023
111,4.0,Nice,Gift item,Reviewed in India 🇮🇳 on 13 April 2023
112,4.0,Phone is smooth,It's nice brand,Reviewed in India 🇮🇳 on 10 April 2023
113,4.0,Good,Nice product in this price range,Reviewed in India 🇮🇳 on 8 April 2023
114,4.0,Battery life fast charging ram speed,This screen glass is very strong I like it and it's cool but this warranty is 1 year only,Reviewed in India 🇮🇳 on 1 April 2023
115,4.0,Overall features is very good,Overall features is very good,Reviewed in India 🇮🇳 on 3 April 2023
116,4.0,Good product,Good product,Reviewed in India 🇮🇳 on 9 April 2023
117,4.0,Good and beautiful,All most good moble,Reviewed in India 🇮🇳 on 1 April 2023
118,4.0,Value for money,"Good one for the price. Using it for 2 days now. Battery life is more than I expected. Without much usage lasting for almost two days. Good display and smooth functionality. Some times, it flickers in some apps like messages. Don't know why.",Reviewed in India 🇮🇳 on 21 March 2023
119,4.0,Good product,Like,Reviewed in India 🇮🇳 on 4 April 2023
120,4.0,Ok,I liked this,29 March 2023
121,4.0,Oneplus,Budget phone,27 March 2023
122,4.0,Good,Good,4 April 2023
123,3.0,🌃,Not worth it for the priceAdvantages -• 65W Fast Charging• 90 Hz• Gives 60 fpsDisadvantages• Battery capacity is low• Battery drains faster• Better cameras in the price• Lots of frame drops• Private App hider is not that secureI would recommend you to look after another mobile rather than buying this one. There are much better smartphones available in this price range.,30 April 2023
124,4.0,Average,Thik thak,2 April 2023
125,4.0,Great budget OnePlus phone,ProsQualityExpandable ramPerformanceBattery charging speed and lifeDaylight cameraSub par night camGreat display and refresh rateConsFront camera is average and feels like Vivo cameraGpu could've been betterNight mode isn't greatWanted less bloatware,12 March 2023
126,4.0,"All over less than 20k it's good deal,","The things u got in this price is more enough to be happy, one can not have more expectations than this",20 March 2023
127,4.0,Nice product,Tech term : camera and battery life is good,22 March 2023
128,4.0,A decent package for non gamers and everything thing is decent not the best out there,"The media could not be loaded.
                



 Build quality - Rating 7.5 : One of the light weight phones out there and has to say it's quite comfortable for one hand usage and even the material used is polycarbonate but gets the job done but doesn't matter if back cover is there . In terms of styling it's similar to oppo phone but i liked it but won't recommend gray one as it attaches fingerprints but if you are going to use back cover then it doesn't matterDisplay -  Rating 8 : Really good amoled plan and 90hz refresh rate works well wish it could have been 120hz . But the bottom chin is quite thick that is the only thing and yes there is gorilla glass 5 protection and screen guard pre applied too . But the panel on this one is the not the best out there but it's pretty decent as wellPerformance - Rating 9 :Dimensity 900 with ufs 2.2 and lppdr4x Ram gets the job done for regular day to day operations and I didn't played games so can't say but considering this soc is pretty good you can expect 50 fps stable in bgmi and cod . Still I would say this processor is good but competition is offering better so you decide . For me gaming doesn't matter and for next 2 years it can last me easily for normal.usageSoftware- 8.5 : biggest con is Android 11 based on oxygen OS or should I say future color oos 😂 but overall it's quite stable and no bugs as of now but still can't say a lot will have to wait for Android 12 to have better ideaCamera -  Rating 7.5 : 64mp is decent I was atleast expecting samsung sensor though but they provided omnivison sensor which gets the job done but to be Frank I am not into camera that much so better to check other reviews and video stability in 1080p is good and 8mp ultratwide is decent as well . Still the camera is not the best out there again I am saying this because others are offering better but OnePlus managed to give decent thingsBattery -  Rating 9: on 90hz refresh rate with 40 percent brightness and dark mode excluding gaming it gives 7 hrs of sot from 99 to 89 on wifi network and then 89 to 59 on jio network and rest remaining on wifi . So battery for normal tasks can last more than 1.5 day . Charging takes about 30 minutes to charge from 10 percent to 99 which is pretty fastSpeakers -  6: pathetic only single speaker and quality is moderate5g bands - 8 bands so it' is futuristicCall quality - Rating 10 :  it's amazing pretty loud and none of the parties ever complained about my voice that is getting mumbledSo to conclude you can buy this one if you only care for OnePlus and you want to try OnePlus for the first time . I was even getting mi 11 lite ne 5g at same price but rejected it due to miui . So for normal users and those who want a stable software without any ads or notification or bloatwares its good",26 February 2022
129,4.0,Good one from one plus,"A nice one by one plus but it could have become a complete and best in this range if display would have been amoled ,,rest everything is nice ..",13 March 2023
130,4.0,iqoo is better than this about net speed,iqoo is better than this about net speed,Reviewed in India 🇮🇳 on 17 April 2023
131,4.0,Good phone,Camera avargeOverall good,Reviewed in India 🇮🇳 on 1 April 2023
132,4.0,Good phone in this range,Good phone,Reviewed in India 🇮🇳 on 31 March 2023
133,4.0,Very Good Mobile good Cemara everything is good I love This Mobile,,Reviewed in India 🇮🇳 on 21 March 2023
134,4.0,One plus Nord ce2,Not better mobile than other brands in this price range,Reviewed in India 🇮🇳 on 30 March 2023
135,4.0,Phone is good,Problem with battery. Charges fast but battery back up not great when compared to Samsung.,Reviewed in India 🇮🇳 on 1 April 2023
136,4.0,It is awesome products..... Overall very good 👍 products,,Reviewed in India 🇮🇳 on 23 March 2023
137,4.0,Good,Nice,Reviewed in India 🇮🇳 on 29 March 2023
138,4.0,Nice,Ghhh,Reviewed in India 🇮🇳 on 2 April 2023
139,4.0,Good,"The media could not be loaded.
                



 Advantages:Camera is good (64 mp)Battery is good (5000 mah)Fingerprint and facelock is thereStorage 128gbScreen sizeRefresh rateMore exchange valueDisadvantages1.Ram 6GB , with this budget 8gb is available in other brands2.It can record vedio with 1080 p not with 4k3.Snapdragon processor 695 ,with this budget better will be there in other brands4.screen guard is not provided in box",Reviewed in India 🇮🇳 on 5 March 2023
140,4.0,Very nice mobile,Very nice mobile but delhivery is  very late about 10 days.,24 March 2023
141,4.0,Value for money,Budget friendly mobile,20 March 2023
142,4.0,All quality good,Anurag Kumar shakya kunwargaon budaun uttar pradeshVery very nice and good quality products services provideCamera quality good battery quality goodAnd fingerprint scanner good,12 March 2023
143,4.0,King of mobile phone,"The media could not be loaded.
                



 Nice and good looking 📱👌👌👌👌👍",7 April 2023
144,4.0,Very nice but batery life is not good,Very Nice,1 April 2023
145,4.0,Good in mid range,Camera quality is good but comparison with realme 9 pro 5g it's behind.,21 March 2023
146,4.0,Best camera Quality,Good and nice camera 🎥 😊,19 March 2023
147,4.0,Could have been better ......,Camera,31 March 2023
148,4.0,Good,Battery life is good.,19 March 2023
149,5.0,Worth buying,I wanted to review only after using it for sometime. It's been 6 months since I have been using it and it's awesome 😎.  I liked a lot about the picture qualities and its way too good compare to other model with this price. I strongly recommend to go for it if you are looking for a budget friendly one,13 April 2023
150,4.0,Not for calling,"Its not for calling, every single time when you make call or received a call it going to hold or recording or mute or ended, so please don't buy if you want to make phone call with this phone",Reviewed in India 🇮🇳 on 12 March 2023
151,4.0,Good,Best at this range,Reviewed in India 🇮🇳 on 18 March 2023
152,4.0,Nice phone in this range,The phone is good,Reviewed in India 🇮🇳 on 20 March 2023
153,4.0,Good phone,Good,Reviewed in India 🇮🇳 on 26 March 2023
154,4.0,Camera,according to the price the camera quality is low at night,Reviewed in India 🇮🇳 on 16 March 2023
155,4.0,Nice,Fantastic,Reviewed in India 🇮🇳 on 30 March 2023
156,4.0,Good some time Hanging,Good some time Hanging,Reviewed in India 🇮🇳 on 31 March 2023
157,4.0,Good,Best phone of this price,Reviewed in India 🇮🇳 on 23 March 2023
158,4.0,which is Display fingerprint,All ok said fingerprint not good,Reviewed in India 🇮🇳 on 24 March 2023
159,4.0,Value for money,Excellent mobile...,Reviewed in India 🇮🇳 on 19 March 2023
160,4.0,Super and everything well battery life very good,Ovarall satisfied,Reviewed in India 🇮🇳 on 17 March 2023
161,4.0,Camera quality super 👍,,Reviewed in India 🇮🇳 on 24 March 2023
162,4.0,Nice,,Reviewed in India 🇮🇳 on 19 March 2023
163,4.0,Never Settle,"Absolutely the best smartphone with value for money. I am a fan of OnePlus and have always wanted to buy a phone. Finally, I got this one. I am delighted with this mobile. This battery backup is just excellent. with the standby screen time, you can use more than 9 hours. I didn't test by playing the games but, I am sure it will give a good experience. The camera quality is good and smoother. I am writing this review after using a month.",Reviewed in India 🇮🇳 on 19 February 2023
164,4.0,Camera is not good.. specially when we zoom it,Camera is not good,Reviewed in India 🇮🇳 on 18 March 2023
165,4.0,Touch problem,I am facing touch screen issue,Reviewed in India 🇮🇳 on 25 March 2023
166,4.0,Good,,Reviewed in India 🇮🇳 on 22 March 2023
167,4.0,Mast,Very good this phone,Reviewed in India 🇮🇳 on 17 March 2023
168,4.0,Camera quality is not upto the mark. Overall good product at this price range.,"Has been using for last 3 months, overall good product with good battery life. Purchase if u don't click photos too often as camera quality is not that great.",Reviewed in India 🇮🇳 on 10 March 2023
169,4.0,Nice,Superb,Reviewed in India 🇮🇳 on 23 March 2023
170,4.0,Good,Good...phone,7 April 2023
171,4.0,Nice,Thikk hai,24 March 2023
172,4.0,Exllcent,No,22 March 2023
173,4.0,Okay product,One plus no more like before. Okay product for money not happy with oxygen os.,15 March 2023
174,4.0,Blurr pixel when zooming,Blurr pixel,24 March 2023
175,5.0,Most liked 5G phone,"Using from last two months, overall feel positive in all aspects. Camera, processor, 5g network signal 🚦, etc are giving decent response as expected from one plus..",29 April 2023
176,4.0,Screen Hang and camera quality is not upto mark,Screen gets hang sometimes and camera quality is not satisfactory,17 March 2023
177,5.0,best ph for gift,i purchased this ph on 6april to my father for his birthday he is very happy because this ph is working good till now,27 April 2023
178,4.0,Decent phone at this price,"Decent phone at this price, so far liking it it has a decent built, and photos are more of natural that the photos come out the way it is.",2 March 2023
179,4.0,Good phone if you buy under 18K,"Performance up to the mark👍, If you do more gaming than average, this phone is definitely a must buy. But if you want to buy a camera centric phone you can look at other phones like Vivo and oppo. Rear camera is also very good but the selfie is little disappointing.",26 February 2023
180,4.0,More expectation less satisfaction,overall good Within this range of price. Don't expect fingerprint sensor to be perfect.,Reviewed in India 🇮🇳 on 9 March 2023
181,4.0,GO AHEAD ..,CAMERA FOR THIS VALUE OF PHONE AWSOME,Reviewed in India 🇮🇳 on 15 March 2023
182,4.0,Series ka behtrin mobile,I very like this,Reviewed in India 🇮🇳 on 15 March 2023
183,4.0,Average cacharging speed very faster and draining also same speed,Battery backup very poor nd camera quality also,Reviewed in India 🇮🇳 on 10 March 2023
184,4.0,Good phone under 20k,An all round performance phone,Reviewed in India 🇮🇳 on 14 March 2023
185,4.0,So good,Best Mobile in lowrange,Reviewed in India 🇮🇳 on 18 March 2023
186,4.0,Posting after 1 month of use,"Well, mobile perform wellCamera- 8/10Processor- 9/10 (for non gamer)Software- 7/10 ( not able to call while on wifi turned on)Charging- 10/10Overall experience is nice.You can go for it",Reviewed in India 🇮🇳 on 7 March 2023
187,4.0,Good,Good,Reviewed in India 🇮🇳 on 14 March 2023
188,5.0,Stylish and stunning smartphone,Best smartphone under 20k.Give bright display on outdoor.Good quality camera.,Reviewed in India 🇮🇳 on 2 May 2023
189,4.0,Decent,Camera is decentGood Battery Life,Reviewed in India 🇮🇳 on 10 March 2023
190,4.0,Wonderful,Superb funtastic thank you Amazon im so happy 😊😊,5 March 2023
191,4.0,Good experience on using this,Battery is little low compared to others,14 March 2023
192,4.0,Recommend under budget,Recommend under budget,13 March 2023
193,5.0,Best Smartphone in this range,Best smartphone purchased. For my daily uses it's perfect for me.,3 May 2023
194,4.0,Good under 20k one plus,Good under 20k one plus,15 March 2023
195,4.0,"Average phone value for money, camera can be better.",Average phone value for money camera could be better.,13 March 2023
196,5.0,Good phone,Really liked the features of one plus. Too good in terms of charging. Fast charging is good. Over all good phone for normal usage.,28 April 2023
197,4.0,Nice one,Good at this price range,11 March 2023
198,4.0,Good,Good,14 March 2023
199,3.0,not value for money,ips display in this price is not worh to buy. camera battery ram optimisation should have been better. xiaomi or realme far better than this. it's over priced by at least 5000.00,22 April 2023
200,4.0,Nice,Nice,Reviewed in India 🇮🇳 on 13 March 2023
201,4.0,Nice phon,Nice,Reviewed in India 🇮🇳 on 15 March 2023
202,4.0,The Smartphone is overall too good,I like all the features as it is a budget phonePros :  Camera  Processor Cons :Here comes the twist it is name as oxygen OS but it is not this is colour os after one week of use you will come to know even if you unlock the phone the ad comesI hate this issue,Reviewed in India 🇮🇳 on 19 February 2023
203,4.0,Okay for the budget phone.,Operating system and multitasking is good for the budget phone. Its the 2nd day of usage and seems battery drains a bit faster than I thought (Maybe because I used samsung before that's why I feel it that way) else decent for the budget phone.,Reviewed in India 🇮🇳 on 3 March 2023
